Info 0    [10:53:16.432] Starting TS Server
Info 1    [10:53:16.434] Version: 4.0.5
Info 2    [10:53:16.434] Arguments: /home/hendrik/.nvm/versions/node/v12.19.0/bin/node /home/hendrik/.nvm/versions/node/v12.19.0/bin/tsserver --logFile /home/hendrik/Workspace/Repos/photo-framer/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/200649f83ea079f8ec28ef25898efd0b/tscancellation*
Info 3    [10:53:16.434] Platform: linux NodeVersion: 12 CaseSensitive: true
Info 4    [10:53:16.434] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [10:53:16.568] Search path: /home/hendrik/Workspace/Repos/photo-framer/src/components
Info 6    [10:53:16.569] For info: /home/hendrik/Workspace/Repos/photo-framer/src/components/pngoptions-element.js :: No config files found.
Info 7    [10:53:16.573] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [10:53:19.184] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 2611ms
Info 9    [10:53:19.184] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [10:53:19.184] 	Files (140)

Info 11   [10:53:19.184] -----------------------------------------------
Info 12   [10:53:19.212] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 13   [10:53:19.315] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true Elapsed: 103ms
Info 14   [10:53:19.315] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 15   [10:53:19.315] 	Files (36)

Info 16   [10:53:19.315] -----------------------------------------------
Info 17   [10:53:28.482] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [10:53:28.485] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 3ms
Info 19   [10:53:30.731] Before ensureProjectForOpenFiles:
Info 20   [10:53:30.731] After ensureProjectForOpenFiles:
Info 21   [10:53:30.732] got projects updated in background, updating diagnostics for /home/hendrik/Workspace/Repos/photo-framer/src/components/pngoptions-element.js
Info 22   [10:57:43.999] Search path: /home/hendrik/Workspace/Repos/photo-framer/src/components
Info 23   [10:57:43.999] For info: /home/hendrik/Workspace/Repos/photo-framer/src/components/jpgoptions-element.js :: No config files found.
Info 24   [10:57:44.1] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 25   [10:57:44.138] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 137ms
Info 26   [10:57:44.138] Project '/dev/null/inferredProject2*' (Inferred)
Info 27   [10:57:44.138] 	Files (140)

Info 28   [10:57:44.138] -----------------------------------------------
Info 29   [10:57:44.157] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject2*
Info 30   [10:57:44.206] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject2* Version: 1 structureChanged: true Elapsed: 49ms
Info 31   [10:57:44.206] Project '/dev/null/autoImportProviderProject2*' (AutoImportProvider)
Info 32   [10:57:44.206] 	Files (36)

Info 33   [10:57:44.206] -----------------------------------------------
Info 34   [10:57:44.540] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 35   [10:57:44.541] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false Elapsed: 1ms
Info 36   [10:57:46.790] Before ensureProjectForOpenFiles:
Info 37   [10:57:46.790] After ensureProjectForOpenFiles:
Info 38   [10:57:46.791] got projects updated in background, updating diagnostics for /home/hendrik/Workspace/Repos/photo-framer/src/components/pngoptions-element.js,/home/hendrik/Workspace/Repos/photo-framer/src/components/jpgoptions-element.js
Info 39   [10:58:20.928] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 40   [10:58:20.973] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 3 structureChanged: false Elapsed: 45ms
Info 41   [10:58:20.973] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 42   [10:58:21.613] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 43   [10:58:21.645] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 4 structureChanged: false Elapsed: 32ms
Info 44   [10:58:21.646] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 45   [10:58:23.634] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 46   [10:58:23.659] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 5 structureChanged: false Elapsed: 25ms
Info 47   [10:58:23.659] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 48   [10:58:54.803] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 49   [10:58:54.856] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 6 structureChanged: false Elapsed: 53ms
Info 50   [10:58:54.857] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 51   [10:58:55.541] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 52   [10:58:55.574] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 7 structureChanged: false Elapsed: 33ms
Info 53   [10:58:55.574] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 54   [10:58:56.337] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 55   [10:58:56.370] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 8 structureChanged: false Elapsed: 33ms
Info 56   [10:58:56.370] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 57   [10:58:56.371] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 58   [10:58:56.400] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 9 structureChanged: false Elapsed: 29ms
Info 59   [10:58:56.400] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 60   [10:58:56.531] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 61   [10:58:56.556] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 10 structureChanged: false Elapsed: 25ms
Info 62   [10:58:56.556] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 63   [10:58:57.416] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
